,Days Since 100 Cases,Doubles in N Days,Reference Cases
602,42,Doubles in 9 Days,2539.841683149113
603,43,Doubles in 9 Days,2743.1807451298264
604,44,Doubles in 9 Days,2962.799079319322
605,45,Doubles in 9 Days,3199.999999999992
606,46,Doubles in 9 Days,3456.1911644553707
607,47,Doubles in 9 Days,3732.892926643563
608,48,Doubles in 9 Days,4031.747359663583
609,49,Doubles in 9 Days,4354.528000557994
610,50,Doubles in 9 Days,4703.1503752819035
611,51,Doubles in 9 Days,5079.683366298224
612,52,Doubles in 9 Days,5486.361490259651
613,53,Doubles in 9 Days,5925.598158638642
614,54,Doubles in 9 Days,6399.999999999982
615,55,Doubles in 9 Days,6912.3823289107395
616,56,Doubles in 9 Days,7465.785853287124
617,57,Doubles in 9 Days,8063.494719327164
618,58,Doubles in 9 Days,8709.056001115985
619,59,Doubles in 9 Days,9406.300750563802
620,60,Doubles in 9 Days,10159.366732596442
621,61,Doubles in 9 Days,10972.722980519295
622,62,Doubles in 9 Days,11851.196317277276
623,63,Doubles in 9 Days,12799.999999999955
624,64,Doubles in 9 Days,13824.76465782147
625,65,Doubles in 9 Days,14931.57170657424
626,66,Doubles in 9 Days,16126.989438654318
627,67,Doubles in 9 Days,17418.112002231963
628,68,Doubles in 9 Days,18812.601501127596
629,69,Doubles in 9 Days,20318.733465192876
630,70,Doubles in 9 Days,21945.44596103858
631,71,Doubles in 9 Days,23702.39263455454
632,72,Doubles in 9 Days,25599.999999999898
633,73,Doubles in 9 Days,27649.529315642925
634,74,Doubles in 9 Days,29863.14341314846
635,75,Doubles in 9 Days,32253.97887730862
636,76,Doubles in 9 Days,34836.224004463904
637,77,Doubles in 9 Days,37625.20300225517
638,78,Doubles in 9 Days,40637.46693038573
639,79,Doubles in 9 Days,43890.891922077135
640,0,Doubles in 10 Days,100.0
641,1,Doubles in 10 Days,107.17734625362931
642,2,Doubles in 10 Days,114.86983549970348
643,3,Doubles in 10 Days,123.1144413344916
644,4,Doubles in 10 Days,131.95079107728938
645,5,Doubles in 10 Days,141.42135623730945
646,6,Doubles in 10 Days,151.57165665103975
647,7,Doubles in 10 Days,162.45047927124702
648,8,Doubles in 10 Days,174.11011265922474
649,9,Doubles in 10 Days,186.6065983073614
650,10,Doubles in 10 Days,199.9999999999999
651,11,Doubles in 10 Days,214.3546925072585
652,12,Doubles in 10 Days,229.73967099940685
653,13,Doubles in 10 Days,246.2288826689831
654,14,Doubles in 10 Days,263.90158215457865
655,15,Doubles in 10 Days,282.8427124746188
656,16,Doubles in 10 Days,303.1433133020794
657,17,Doubles in 10 Days,324.9009585424939
658,18,Doubles in 10 Days,348.22022531844937
659,19,Doubles in 10 Days,373.2131966147226
660,20,Doubles in 10 Days,399.9999999999996
661,21,Doubles in 10 Days,428.70938501451684
662,22,Doubles in 10 Days,459.47934199881354
663,23,Doubles in 10 Days,492.457765337966
664,24,Doubles in 10 Days,527.8031643091572
665,25,Doubles in 10 Days,565.6854249492375
666,26,Doubles in 10 Days,606.2866266041586
667,27,Doubles in 10 Days,649.8019170849877
668,28,Doubles in 10 Days,696.4404506368985
669,29,Doubles in 10 Days,746.426393229445
670,30,Doubles in 10 Days,799.999999999999
671,31,Doubles in 10 Days,857.4187700290335
672,32,Doubles in 10 Days,918.9586839976268
673,33,Doubles in 10 Days,984.9155306759318
674,34,Doubles in 10 Days,1055.6063286183141
675,35,Doubles in 10 Days,1131.3708498984747
676,36,Doubles in 10 Days,1212.573253208317
677,37,Doubles in 10 Days,1299.6038341699752
678,38,Doubles in 10 Days,1392.8809012737968
679,39,Doubles in 10 Days,1492.8527864588898
680,40,Doubles in 10 Days,1599.9999999999977
681,41,Doubles in 10 Days,1714.8375400580667
682,42,Doubles in 10 Days,1837.9173679952535
683,43,Doubles in 10 Days,1969.8310613518634
684,44,Doubles in 10 Days,2111.212657236628
685,45,Doubles in 10 Days,2262.741699796949
686,46,Doubles in 10 Days,2425.1465064166337
687,47,Doubles in 10 Days,2599.20766833995
688,48,Doubles in 10 Days,2785.761802547593
689,49,Doubles in 10 Days,2985.705572917779
690,50,Doubles in 10 Days,3199.999999999995
691,51,Doubles in 10 Days,3429.6750801161324
692,52,Doubles in 10 Days,3675.834735990506
693,53,Doubles in 10 Days,3939.6621227037253
694,54,Doubles in 10 Days,4222.425314473254
695,55,Doubles in 10 Days,4525.483399593895
696,56,Doubles in 10 Days,4850.293012833265
697,57,Doubles in 10 Days,5198.415336679897
698,58,Doubles in 10 Days,5571.5236050951835
699,59,Doubles in 10 Days,5971.4111458355555
700,60,Doubles in 10 Days,6399.999999999987
701,61,Doubles in 10 Days,6859.350160232262
702,62,Doubles in 10 Days,7351.669471981008
703,63,Doubles in 10 Days,7879.324245407447
704,64,Doubles in 10 Days,8444.850628946504
705,65,Doubles in 10 Days,9050.966799187787
706,66,Doubles in 10 Days,9700.586025666524
707,67,Doubles in 10 Days,10396.83067335979
708,68,Doubles in 10 Days,11143.047210190362
709,69,Doubles in 10 Days,11942.822291671106
710,70,Doubles in 10 Days,12799.999999999969
711,71,Doubles in 10 Days,13718.700320464519
712,72,Doubles in 10 Days,14703.338943962011
713,73,Doubles in 10 Days,15758.648490814889
714,74,Doubles in 10 Days,16889.701257893004
715,75,Doubles in 10 Days,18101.93359837557
716,76,Doubles in 10 Days,19401.172051333044
717,77,Doubles in 10 Days,20793.661346719575
718,78,Doubles in 10 Days,22286.09442038072
719,79,Doubles in 10 Days,23885.644583342208
